अ ə
अडवानीन əɖəʋaninə
अडवार्णीक əɖəʋarɳikə
अडाणी əɖaɳi
अडिल्लो əɖillo
अडीअडचणीं əɖiəɖətʃəɳĩ
अडीअडचणीच्या əɖiəɖətʃəɳitʃja
अडेच əɖetʃə
अडेचीं əɖetʃĩ
अडेचें əɖetʃẽ
अडेचो əɖetʃo
अडेज əɖedʒə
अड्डो əɖɖo
अड्ड्यांनी əɖɖjãni
अढळपद əɖʰəɭəpəd̪ə
अणकार əɳəkarə
अणकाराच्या əɳəkaratʃja
अणकारीत əɳəkarit̪ə
अणभव əɳəbʱəʋə
अणभवच əɳəbʱəʋətʃə
अणभवतकच əɳəbʱəʋət̪əkətʃə
अणभवतना əɳəbʱəʋət̪əna
अणभवता əɳəbʱəʋət̪a
अणभवतात əɳəbʱəʋət̪at̪ə
अणभवपा əɳəbʱəʋəpa
अणभवपाक əɳəbʱəʋəpakə
अणभवला əɳəbʱəʋəla
अणभवलां əɳəbʱəʋəlã
अणभवली əɳəbʱəʋəli
अणभवलोच əɳəbʱəʋəlotʃə
अणभवल्या əɳəbʱəʋəlja
अणभवल्यार əɳəbʱəʋəljarə
अणभवहाकाय əɳəbʱəʋəɦakajə
अणभवा əɳəbʱəʋa
अणभवां əɳəbʱəʋã
अणभवांक əɳəbʱəʋãkə
अणभवांची əɳəbʱəʋãtʃi
अणभवांच्या əɳəbʱəʋãtʃja
अणभवांतले əɳəbʱəʋãt̪əle
अणभवांतल्यान əɳəbʱəʋãt̪əljanə
अणभवाक əɳəbʱəʋakə
अणभवाचीं əɳəbʱəʋatʃĩ
अणभवाचे əɳəbʱəʋatʃe
अणभवाचें əɳəbʱəʋatʃẽ
अणभवाचो əɳəbʱəʋatʃo
अणभवाच्या əɳəbʱəʋatʃja
अणभवान əɳəbʱəʋanə
अणभविल्लो əɳəbʱəʋillo
अणभवी əɳəbʱəʋi
अणभवूंक əɳəbʱəʋũkə
अणभवूच əɳəbʱəʋutʃə
अणभावन əɳəbʱaʋənə
अणभावाचे əɳəbʱaʋatʃe
अणवस्त्र əɳəʋəst̪rə
अणसरून əɳəsərunə
अणुकार्यावळीची əɳukarjaʋəɭitʃi
अणुबाँब əɳubaM’bə
अणुबाँबाची əɳubaM’batʃi
अणू əɳu
अणूचांचणेचे əɳutʃãtʃəɳetʃe
अणूबॉम əɳubɔmə
अण्डर əɳɖərə
अण्णा əɳɳa
अण्भव əɳbʱəʋə
अण्वयस्त्रां əɳʋəjəst̪rã
अण्वस्त्र əɳʋəst̪rə
अण्वस्त्रज्ज्ज əɳʋəst̪rədʒdʒdʒə
अण्वस्त्रधारक əɳʋəst̪rəd̪ʰarəkə
अण्वस्त्रधारी əɳʋəst̪rəd̪ʰari
अण्वस्त्रसज्ज əɳʋəst̪rəsədʒdʒə
अण्वस्त्रां əɳʋəst̪rã
अण्वस्त्रांक əɳʋəst̪rãkə
अण्वस्त्रांची əɳʋəst̪rãtʃi
अण्वस्त्रांचें əɳʋəst̪rãtʃẽ
अण्वस्त्रांचो əɳʋəst̪rãtʃo
अण्वस्त्रांच्या əɳʋəst̪rãtʃja
अण्वस्त्रांच्यो əɳʋəst̪rãtʃjo
अण्वस्त्रांनी əɳʋəst̪rãni
अण्वस्रसज्ज əɳʋəsrəsədʒdʒə
अतर्क्य ət̪ərkjə
अतिक्रमण ət̪ikrəməɳə
अतिक्रमणां ət̪ikrəməɳã
अतिक्रमणाचो ət̪ikrəməɳatʃo
अतिक्रमणाच्या ət̪ikrəməɳatʃja
अतिताय ət̪it̪ajə
अतिपूर्व ət̪ipurʋə
अतिरिक्त ət̪irikt̪ə
अतिरेक ət̪irekə
अतिरेकांतल्यान ət̪irekãt̪əljanə
अतिरेकी ət̪ireki
अतिवास्तवाच्या ət̪iʋast̪əʋatʃja
अतिशयोक्ती ət̪iʃəjokt̪i
अतिशुद्रांच्या ət̪iʃud̪rãtʃja
अतिहुशार ət̪iɦuʃarə
अती ət̪i
अतीउत्साही ət̪iut̪saɦi
अतीगिरेस्त ət̪igirest̪ə
अतीच ət̪itʃə
अतीदक्षताय ət̪id̪əkʂət̪ajə
अतीशाणी ət̪iʃaɳi
अतुल ət̪ulə
अतुल्य ət̪uljə
अतूट ət̪uʈə
अतोनात ət̪onat̪ə
अत्त्याचार ət̪t̪jatʃarə
अत्त्याचारांक ət̪t̪jatʃarãkə
अत्त्याचारांचीं ət̪t̪jatʃarãtʃĩ
अत्त्याचारूय ət̪t̪jatʃarujə
अत्यंत ət̪jə̃t̪ə
अत्याचार ət̪jatʃarə
अत्याचारबलात्कार ət̪jatʃarəbəlat̪karə
अत्याचारांक ət̪jatʃarãkə
अत्याचारांतल्यान ət̪jatʃarãt̪əljanə
अत्याचाराक ət̪jatʃarakə
अत्याचाराची ət̪jatʃaratʃi
अत्याचाराचो ət̪jatʃaratʃo
अत्याचाराच्या ət̪jatʃaratʃja
अत्याचाराच्यो ət̪jatʃaratʃjo
अत्याचारूच ət̪jatʃarutʃə
अत्याचेर ət̪jatʃerə
अत्याधुनिक ət̪jad̪ʰunikə
अत्याधुनीक ət̪jad̪ʰunikə
अत्यावश्यक ət̪jaʋəʃjəkə
अत्रुजेंतल्या ət̪rudʒẽt̪əlja
अत्रे ət̪re
अथ ət̪ʰə
अथक ət̪ʰəkə
अथकपणान ət̪ʰəkəpəɳanə
अथर ət̪ʰərə
अथांग ət̪ʰãgə
अथिक्रमणां ət̪ʰikrəməɳã
अथिरेकी ət̪ʰireki
अथींक ət̪ʰĩkə
अथीक ət̪ʰikə
अदभूत əd̪əbʱut̪ə
अदमास əd̪əmasə
अदमासच əd̪əmasətʃə
अदमासपत्रक əd̪əmasəpət̪rəkə
अदमासपत्रका əd̪əmasəpət̪rəka
अदमासपत्रकांत əd̪əmasəpət̪rəkãt̪ə
अदमासपत्रकांतल्यान əd̪əmasəpət̪rəkãt̪əljanə
अदमासपत्रकाचेर əd̪əmasəpət̪rəkatʃerə
अदमासा əd̪əmasa
अदमासांचेर əd̪əmasãtʃerə
अदमासाचो əd̪əmasatʃo
अदमासान əd̪əmasanə
अदमासूच əd̪əmasutʃə
अदमासूय əd̪əmasujə
अदर्श əd̪ərʃə
अदांभीक əd̪ãbʱikə
अदार əd̪arə
अदिकच əd̪ikətʃə
अदिकादीक əd̪ikad̪ikə
अदिकारिणीक əd̪ikariɳikə
अदिकारी əd̪ikari
अदिकारीच əd̪ikaritʃə
अदिकूच əd̪ikutʃə
अदीं əd̪ĩ
अदींमदीं əd̪ĩməd̪ĩ
अदीक əd̪ikə
अदीकच əd̪ikətʃə
अदीकय əd̪ikəjə
अदूं əd̪ũ
अदूभुत əd̪ubʱut̪ə
अदृश्य əd̪xʃjə
अद्धत əd̪d̪ʰət̪ə
अद्भूत əd̪bʱut̪ə
अद्ययावत əd̪jəjaʋət̪ə
अद्याप əd̪japə
अद्वितीय əd̪ʋit̪ijə
अधःपतन əd̪ʰəHpət̪ənə
अधःपाताफाटलें əd̪ʰəHpat̪afaʈəlẽ
अधर्म əd̪ʰərmə
अधर्माचो əd̪ʰərmatʃo
अधर्मी əd̪ʰərmi
अधांतरी əd̪ʰãt̪əri
अधाशी əd̪ʰaʃi
अधिकांर्याकनी əd̪ʰikãrjakəni
अधिकायांनी əd̪ʰikajãni
अधिकार əd̪ʰikarə
अधिकारच əd̪ʰikarətʃə
अधिकारपदार əd̪ʰikarəpəd̪arə
अधिकारा əd̪ʰikara
अधिकारां əd̪ʰikarã
अधिकारांक əd̪ʰikarãkə
अधिकारांची əd̪ʰikarãtʃi
अधिकारांचे əd̪ʰikarãtʃe
अधिकारांचें əd̪ʰikarãtʃẽ
अधिकारांचो əd̪ʰikarãtʃo
अधिकारांचोंच əd̪ʰikarãtʃõtʃə
अधिकाराक əd̪ʰikarakə
अधिकाराचो əd̪ʰikaratʃo
अधिकारान əd̪ʰikaranə
अधिकारिणी əd̪ʰikariɳi
अधिकारिणीन əd̪ʰikariɳinə
अधिकारी əd̪ʰikari
अधिकारीय əd̪ʰikarijə
अधिकारूच əd̪ʰikarutʃə
अधिकार्या əd̪ʰikarja
अधिकार्यांक əd̪ʰikarjãkə
अधिकार्यांचे əd̪ʰikarjãtʃe
अधिकार्यांचें əd̪ʰikarjãtʃẽ
अधिकार्यांच्या əd̪ʰikarjãtʃja
अधिकार्यांनक əd̪ʰikarjãnəkə
अधिकार्यांपची əd̪ʰikarjãpətʃi
अधिकार्यांपच्या əd̪ʰikarjãpətʃja
अधिकार्यांरचीं əd̪ʰikarjãrətʃĩ
अधिकार्यांहचें əd̪ʰikarjãɦətʃẽ
अधिकार्यांुक əd̪ʰikarjaukə
अधिकार्यांेक əd̪ʰikarjaekə
अधिकार्यांेचो əd̪ʰikarjaetʃo
अधिकार्‍यां əd̪ʰikarjã
अधिकाऱया əd̪ʰikarja
अधिकाऱयां əd̪ʰikarjã
अधिकाऱयांक əd̪ʰikarjãkə
अधिकाऱयांकूय əd̪ʰikarjãkujə
अधिकाऱयांची əd̪ʰikarjãtʃi
अधिकाऱयांचीं əd̪ʰikarjãtʃĩ
अधिकाऱयांचे əd̪ʰikarjãtʃe
अधिकाऱयांचो əd̪ʰikarjãtʃo
अधिकाऱयांचोय əd̪ʰikarjãtʃojə
अधिकाऱयांच्या əd̪ʰikarjãtʃja
अधिकाऱयांनी əd̪ʰikarjãni
अधिकाऱयाक əd̪ʰikarjakə
अधिकाऱयाची əd̪ʰikarjatʃi
अधिकाऱयाचे əd̪ʰikarjatʃe
अधिकाऱयाचें əd̪ʰikarjatʃẽ
अधिकाऱयाचेर əd̪ʰikarjatʃerə
अधिकाऱयाचो əd̪ʰikarjatʃo
अधिकाऱयाच्या əd̪ʰikarjatʃja
अधिकाऱयान əd̪ʰikarjanə
अधिकाऱ्या əd̪ʰikaja
अधिकाऱ्यां əd̪ʰikajã
अधिकाऱ्यांक əd̪ʰikajãkə
अधिकाऱ्यांची əd̪ʰikajãtʃi
अधिकाऱ्यांचीं əd̪ʰikajãtʃĩ
अधिकाऱ्यांचे əd̪ʰikajãtʃe
अधिकाऱ्यांचें əd̪ʰikajãtʃẽ
अधिकाऱ्यांचेर əd̪ʰikajãtʃerə
अधिकाऱ्यांनी əd̪ʰikajãni
अधिकाऱ्याक əd̪ʰikajakə
अधिकाऱ्याचे əd̪ʰikajatʃe
अधिकाऱ्याचेर əd̪ʰikajatʃerə
अधिकाऱ्याच्या əd̪ʰikajatʃja
अधिकाऱ्यान əd̪ʰikajanə
अधिकाऱ्यानी əd̪ʰikajani
अधिकृत əd̪ʰikxt̪ə
अधिक्षक əd̪ʰikʂəkə
अधिक्षेप əd̪ʰikʂepə
अधिक्षेपा əd̪ʰikʂepa
अधिपत्या əd̪ʰipət̪ja
अधिवशनांतूय əd̪ʰiʋəʃənãt̪ujə
अधिवास əd̪ʰiʋasə
अधिवेशन əd̪ʰiʋeʃənə
अधिवेशना əd̪ʰiʋeʃəna
अधिवेशनां əd̪ʰiʋeʃənã
अधिवेशनांत əd̪ʰiʋeʃənãt̪ə
अधिवेशनांतय əd̪ʰiʋeʃənãt̪əjə
अधिवेशनांतल्यान əd̪ʰiʋeʃənãt̪əljanə
अधिवेशनाचें əd̪ʰiʋeʃənatʃẽ
अधिवेशनाचेर əd̪ʰiʋeʃənatʃerə
अधिवेशनाचो əd̪ʰiʋeʃənatʃo
अधिवेशनाच्या əd̪ʰiʋeʃənatʃja
अधिश्ठान əd̪ʰiʃʈʰanə
अधिष्ठान əd̪ʰiʂʈʰanə
अधिसत्ता əd̪ʰisət̪t̪a
अधिसुचीत əd̪ʰisutʃit̪ə
अधिसुचोवणी əd̪ʰisutʃoʋəɳi
अधीर əd̪ʰirə
अधू əd̪ʰu
अधूनमधून əd̪ʰunəməd̪ʰunə
अधोगती əd̪ʰogət̪i
अधोगतीक əd̪ʰogət̪ikə
अधोगतीचो əd̪ʰogət̪itʃo
अधोरेखीत əd̪ʰorekʰit̪ə
अध्यक्ष əd̪ʰjəkʂə
अध्यक्षताये əd̪ʰjəkʂət̪aje
अध्यक्षपद əd̪ʰjəkʂəpəd̪ə
अध्यक्षपदाची əd̪ʰjəkʂəpəd̪atʃi
अध्यक्षपदाचीं əd̪ʰjəkʂəpəd̪atʃĩ
अध्यक्षपदाचेर əd̪ʰjəkʂəpəd̪atʃerə
अध्यक्षपदाचो əd̪ʰjəkʂəpəd̪atʃo
अध्यक्षपदाच्या əd̪ʰjəkʂəpəd̪atʃja
अध्यक्षपदार əd̪ʰjəkʂəpəd̪arə
अध्यक्षा əd̪ʰjəkʂa
अध्यक्षांक əd̪ʰjəkʂãkə
अध्यक्षाक əd̪ʰjəkʂakə
अध्यक्षाची əd̪ʰjəkʂatʃi
अध्यक्षाचे əd̪ʰjəkʂatʃe
अध्यक्षाचें əd̪ʰjəkʂatʃẽ
अध्यक्षाचो əd̪ʰjəkʂatʃo
अध्यक्षादेश əd̪ʰjəkʂad̪eʃə
अध्यक्षान əd̪ʰjəkʂanə
अध्यक्षीय əd̪ʰjəkʂijə
अध्यक्षूच əd̪ʰjəkʂutʃə
अध्ययन əd̪ʰjəjənə
अध्याक्षांनी əd̪ʰjakʂãni
अध्यात्म əd̪ʰjat̪mə
अध्यात्मांचो əd̪ʰjat̪mãtʃo
अध्यात्माकय əd̪ʰjat̪makəjə
अध्यात्माची əd̪ʰjat̪matʃi
अध्यात्माचो əd̪ʰjat̪matʃo
अध्यात्माच्या əd̪ʰjat̪matʃja
अध्यात्मिक əd̪ʰjat̪mikə
अध्यात्मीक əd̪ʰjat̪mikə
अध्यादेश əd̪ʰjad̪eʃə
अध्यापन əd̪ʰjapənə
अध्याय əd̪ʰjajə
अध्याया əd̪ʰjaja
अध्यायाची əd̪ʰjajatʃi
अनंत ənə̃t̪ə
अनंताक ənə̃t̪akə
अनंताची ənə̃t̪atʃi
अनंताचीं ənə̃t̪atʃĩ
अनंताचो ənə̃t̪atʃo
अनंतात ənə̃t̪at̪ə
अनंतूय ənə̃t̪ujə
अनकम्फर्टेबल ənəkəmfərʈebələ
अनधिकृतपणान ənəd̪ʰikxt̪əpəɳanə
अनन्य ənənjə
अनपढ ənəpəɖʰə
अनपेक्षीत ənəpekʂit̪ə
