आंवयन ãvɨjn ãvəjən
फळें fəɭɛ̃ fəɭẽ
फांती fãti fãti
फातर fatɨr fatər
फाल्यां faljã faljã
फावो favɔ favo
फुकटचें fukəʈt͡ʃɛ̃ fukəʈət͡ʃẽ
फुडलें fuɭɭɛ̃ fuɖəlẽ
फॅक्टरीचो fɛkʈərit͡sɔ fɛkʈərit͡ʃo
बडी bɨɖi bəɖi
बरी bəri bəri
बरें bərɛ̃ bərẽ
बरो bərɔ bəro
बांय bã:j bãj
बाग baːg bag
बाजारांत bad͡zarãt bad͡zarãt
बाजारांतल्यान bad͡zarãtljan bad͡zarãtəljan
बाबुल्याक babuljak babuljak
बाय ba:j baj
बिळांतल्यान biɭãtljan biɭãtəljan
बी bi: bi
बीं bĩ: bĩ
बेगीन begin begin
बोट bɔʈ boʈ
बोमाडो bɔmaɖɔ bomaɖo
भर bʰər bʱər
भाजयेंत bʱad͡ʒjẽt bʱad͡zəjẽt
भाजी bʱad͡ʒi bʱad͡zi
भाजीपाल्याची bʱad͡ʒipaljat͡ʃi bʱad͡zipaljat͡ʃi
भायर bʱajr bʱajər
भाव bʱaʋ bʱav
भावाचेर bʱavat͡ʃer bʱavat͡ʃer
भाशणाचो bʱaʃəɳat͡sɔ bʱaʃəɳat͡ʃo
भुरगो bʱurgɔ bʱurəgo
भोंव bʱɔ̃ʋ bʱõv
भोंवतणीं bʱõʋtəɳĩ bʱõvətəɳĩ
भोव bʱoʋ bʱov
मनाक mənak mənak
मनीस mənis mənis
मरून morun mərun
मळबांत məɭbãt məɭəbãt
मळार məɭar məɭar
मांव mã:ʋ mãv
मागीर magir magir
माडाची maɖat͡ʃi maɖat͡ʃi
मातशे mat'ʃɛ matəʃe
मात्शे matʃɛ matʃe
मानगें mangɛ̃ manəgẽ
माम mam mam
माव ma:ʋ mav
मावजो maʋd͡zɔ mavəd͡zo
मॉलांत mɔlãt mɔlãt
म्हजी mʱəd͡ʒi mhəd͡zi
म्हजे mʱəd͡ʒe mhəd͡ze
म्हजें mʱəd͡ʒɛ̃ mhəd͡zẽ
म्हण mʱəɳ mhəɳ
म्हणलें mʰəɳlɛ̃ mhəɳəlẽ
म्हाका mʱaka mhaka
म्हूण mʱuɳ mhuɳ
येना yɛna jena
रागार ragar ragar
रे re re
रोंपो rɔ̃pɔ rõpo
रोप rop rop
लांब lam lãb
लागना lagəna lagəna
लायला lajla lajəla
लॅम्प lɛmp lɛmp
लेगीत legit legit
वंय vɨ̃:j və̃j
वचपाक vət͡spak vət͡ʃəpak
वचूंक vət͡sũk vət͡ʃũk
वचोन vət͡sun vət͡ʃon
वणटीक vəɳʈik vəɳəʈik
वता vəta vəta
वय vəj vəj
वयर vɨjr vəjər
वयल्यान vɨjljan vəjəljan
वर्गांत vərgãt vərgãt
वर्सा vərsa vərsa
वर्साचो vərsat͡sɔ vərsat͡ʃo
वांट vãʈ vãʈ
वाट vaʈ vaʈ
वाटेर vaʈer vaʈer
वाडोवं vaɖõʋ vaɖovə̃
विशीं viʃĩ viʃĩ
वेंत vɛ̃t vẽt
वेताची ʋɛtat͡ʃi vetat͡ʃi
व्हडले vʱəɭɭɛ vhəɖəle
व्हडलें vʰəɭɭɛ̃ vhəɖəlẽ
व्हडें vʱəɖɛ̃ vhəɖẽ
शाणें ʃaɳɛ̃ ʃaɳẽ
शाळेंत ʃaɭẽt ʃaɭẽt
शीं ʃĩ: ʃĩ
शेतकारान ʃɛtkaran ʃetəkaran
शेतांत ʃɛtãt ʃetãt
संवय sə̃vɨj sə̃vəj
सकयल səkəjl səkəjəl
सकाळीं səkaɭĩ səkaɭĩ
सगळीं səgɭĩ səgəɭĩ
सगळे səgɭɛ səgəɭe
सगळ्यांक səgɭjãk səgəɭjãk
सरचें sərt͡ʃɛ̃ sərət͡ʃẽ
सर्ती sərti sərti
सवणीं səʋɳĩ səvəɳĩ
सवाय səvaj səvaj
सांग sãŋ sãg
सांवार sãvar sãvar
सामके samkɛ saməke
सामको samkɔ saməko
सुंदर sundər sũdər
सूंठ sũ:ʈʰ sũʈʰ
सूट su:ʈ suʈ
सोंपो sɔ̃pɔ sõpo
सोंशाचीं sɔ̃ʃat͡ʃĩ sõʃat͡ʃĩ
सोपो sɔpɔ sopo
सोय soj soj
हय həj həj
हांंगा hãŋã hã̃ga
हांकां hãŋkã hãkã
हांगच्यान hãŋt͡ʃan hãgət͡ʃjan
हांगा haŋã hãga
हांगां haŋã hãgã
हांगाच hãŋãt͡s hãgat͡ʃ
हांव hãʋ hãv
हाचेर hat͡ʃer hat͡ʃer
हाड haɖ haɖ
हाडून haɖun haɖun
हात hat hat
हालोंवचो haloʋt͡sɔ halõvət͡ʃo
ही hi hi
हीं hĩ hĩ
हुनीर hunir hunir
हे he he
हें hɛ̃ hẽ
हो hɔ ho
